seed,p,train_sd,train_at_target,corr_train_mgmt,train_var_share_from_mgmt
0,0.0,0.25282842568971503,0.0,0.5705980152639951,0.3255820950232101
0,0.5,0.21946065461516848,0.31875,0.3942518445214145,0.1554345169085376
0,0.75,0.1789689100424302,0.46575,0.3633366657271519,0.1320135326617239
0,0.9,0.13918097522507397,0.55175,0.35181428101697,0.12377328832748735
0,1.0,0.08615098257037787,0.621,0.4102391850539877,0.16829618895375975
1,0.0,0.2569252673375712,0.0,0.5852024028680872,0.34246185232258275
1,0.5,0.2233918250090878,0.31925,0.4080106841152201,0.1664727183521698
1,0.75,0.18254712091040315,0.4625,0.35647389456308554,0.1270736375049738
1,0.9,0.13141707258035973,0.56225,0.32995034068438694,0.10886722731774323
1,1.0,0.07447590561126662,0.62775,0.40365601732721273,0.16293818032446716
2,0.0,0.2563093214028911,0.0,0.5872611611434461,0.3448756713875488
2,0.5,0.22288252260849328,0.29075,0.39739750196336104,0.15792477456671972
2,0.75,0.1804826826829662,0.4325,0.3426800418421177,0.11742961107691552
2,0.9,0.13576617520801018,0.52575,0.31835745380332997,0.10135146839213938
2,1.0,0.0887654264344074,0.587,0.3622999444208064,0.13126124972731967
3,0.0,0.2561756698841883,0.00025,0.5990124334503807,0.3588158954281465
3,0.5,0.2216809689683753,0.292,0.4216735948060511,0.1778086205566577
3,0.75,0.17882829448530932,0.43525,0.3546566009884019,0.12578130462464643
3,0.9,0.13944991768158482,0.51675,0.32917419457790853,0.10835565037601502
3,1.0,0.09762205365886545,0.57325,0.35019724526697693,0.12263811059257912
4,0.0,0.25880489451833383,0.0005,0.5847645608543127,0.3419495916311368
4,0.5,0.22757564852833967,0.27875,0.40504966183688207,0.1640652285541726
4,0.75,0.18598030319642017,0.433,0.33561292552655203,0.11263603578049086
4,0.9,0.14187389850165405,0.521,0.3263751884038772,0.10652076360566631
4,1.0,0.09792952688218692,0.58225,0.368565478326875,0.13584051181431844
5,0.0,0.2531426956539587,0.0,0.5644980398717633,0.3186580370190629
5,0.5,0.22523805727721857,0.23375,0.4491881095639112,0.2017699577736004
5,0.75,0.19671922528672317,0.3505,0.41068320190430335,0.1686606923263707
5,0.9,0.17282160856117484,0.4155,0.412618218939958,0.17025379460118328
5,1.0,0.14607226986172428,0.46675,0.41892831545851683,0.17550093349291052
6,0.0,0.257039388114786,0.0,0.5810614360747377,0.33763239249323695
6,0.5,0.22380056620478342,0.328,0.3955031029256634,0.1564227044238281
6,0.75,0.17465117214185646,0.4945,0.3206524790057601,0.10281801229253928
6,0.9,0.12493012154954665,0.5925,0.3108920155447494,0.09665384532947674
6,1.0,0.07149259823472166,0.65425,0.389012038968883,0.15133036646272735
7,0.0,0.25525239121530097,0.00025,0.5861853681121013,0.3436132857887194
7,0.5,0.22325368570379855,0.3085,0.40719427774719735,0.16580717983006177
7,0.75,0.17631059235662216,0.468,0.3349906718388686,0.11221875021905658
7,0.9,0.1307186833868698,0.5605,0.31719277216099206,0.10061125471117516
7,1.0,0.08119039107022273,0.62275,0.38931370515087477,0.15156516101830242
8,0.0,0.25606025434801605,0.0,0.5972363680145341,0.35669127927919186
8,0.5,0.22121127332423074,0.2935,0.42438260814149,0.18010059809297319
8,0.75,0.17877275952516336,0.43875,0.36485469416853633,0.133118947856816
8,0.9,0.1350338365677337,0.52225,0.3298017831477379,0.10876921616742763
8,1.0,0.08841637539135824,0.5815,0.3608969459405526,0.1302466055892182
9,0.0,0.25503085351611293,0.0,0.5744857199650933,0.3300338424438114
9,0.5,0.22461990994120504,0.2755,0.40375394669546705,0.16301724947216611
9,0.75,0.18353246813975022,0.419,0.3557938605411813,0.12658927119879737
9,0.9,0.1443390671095986,0.50125,0.3361394902765918,0.11298975692340696
9,1.0,0.10533457343179084,0.55425,0.3433563245089397,0.11789356558028818
10,0.0,0.25838355625295495,0.00025,0.5776335905393454,0.3336605649193758
10,0.5,0.22229669002888636,0.32375,0.4179480628026634,0.17468058320049895
10,0.75,0.1774853757816907,0.48175,0.3461412498046183,0.11981376481630313
10,0.9,0.13207379644523912,0.5765,0.32083362809840776,0.10293421691878735
10,1.0,0.07884101289371045,0.6395,0.39607952150097697,0.15687898735244277
11,0.0,0.25534153350899835,0.0,0.569902756125769,0.32478915143974785
11,0.5,0.22092842122255255,0.30275,0.3957629754242118,0.15662833271662524
11,0.75,0.17748786287524562,0.46275,0.33106016623335377,0.1096008336664559
11,0.9,0.12637747701965785,0.56275,0.32106916331501134,0.10308540763180152
11,1.0,0.07506063581085431,0.62225,0.3728324658429206,0.1390040475865123
12,0.0,0.25361122855456286,0.0,0.5671929509643867,0.3217078436236892
12,0.5,0.22202930594668732,0.29575,0.3907605865713812,0.15269383601760989
12,0.75,0.1779254972924841,0.45675,0.33460546112367767,0.11196081461378915
12,0.9,0.1292589746065564,0.5545,0.31659076473791653,0.1002297123173389
12,1.0,0.08247452186123767,0.61725,0.37252226050734866,0.13877283457350498
13,0.0,0.2579626917022209,0.0,0.5755527222555459,0.33126093609576956
13,0.5,0.2230568585706329,0.28475,0.3932995028699411,0.15468449895774283
13,0.75,0.1810345153939402,0.4245,0.32978231025820043,0.1087563721592355
13,0.9,0.14311140701129932,0.49975,0.3080426014567,0.09489024431221149
13,1.0,0.09796849429076529,0.5575,0.3486469589686734,0.12155470199810381
14,0.0,0.25484063722707556,0.0,0.5703309583656339,0.32527740207026246
14,0.5,0.22173442591878173,0.309,0.3806440394567234,0.14488988477393172
14,0.75,0.17356666304623075,0.46675,0.3013941929713937,0.09083845955687775
14,0.9,0.12933070880248734,0.561,0.28786510521099223,0.08286631879813577
14,1.0,0.07401412906171134,0.62925,0.36988036760628484,0.13681148634056017
15,0.0,0.2526355659403831,0.0,0.5786310564006237,0.3348138994313018
15,0.5,0.21741784116044705,0.30425,0.40896683581199716,0.167253872794077
15,0.75,0.1723903364220859,0.46125,0.3414020763071974,0.11655537770686542
15,0.9,0.12803472771310515,0.55225,0.32321658572957057,0.10446896129068073
15,1.0,0.08238738637845397,0.611,0.3896564545990714,0.15183215261071825
16,0.0,0.25448691663420214,0.0,0.5855667872958521,0.3428884623839856
16,0.5,0.22427567206809226,0.315,0.4203749676595548,0.17671511343477186
16,0.75,0.18155123121073433,0.47425,0.3615873019325221,0.13074537691884092
16,0.9,0.1356356722631012,0.573,0.35783044226151783,0.12804262540907352
16,1.0,0.08787579216126679,0.637,0.4075122158646685,0.16606620607893186
17,0.0,0.25612094023166043,0.0,0.5811814188365755,0.3377718416008949
