seed,cap,weight,proxy_share_of_promises,bundle_promised_%,bundle_true_%,promised_staff_training_score,true_staff_training_score,promised_security_staff,true_security_staff,promised_incident_response_time,true_incident_response_time,promised_camera_coverage,true_camera_coverage,promised_license_compliance,true_license_compliance,promised_late_night_hours,true_late_night_hours,causal_promised_sum,causal_true_sum
0,0.15,0.2,0.26347415462021745,20.726983319126973,31.05138189464333,4.806884881969066,12.64110075787629,3.7767721427462146,8.429394540559771,2.4306772592836863,8.080076862405766,2.808946565077659,0.0,3.2163301232794406,0.0,5.828957282629639,6.766375736495306,16.843291566628604,35.91694789733713
1,0.15,0.2,0.2591670296027971,20.380207048520475,31.67313916955515,5.780955709648506,13.238513137617009,1.9005538540925775,8.637156142468463,2.1569371092287906,8.05549535449991,3.1716312971960607,0.0,2.3163150337066774,0.0,5.848932959903099,6.716977912177365,15.687379632872972,36.64814254676275
2,0.15,0.2,0.22722899304594216,23.12927501697709,31.364100626813617,5.527553204651025,12.887199537271515,3.421649973092633,8.433713564306737,1.532368475474718,8.298588845102117,1.941156411401432,0.0,3.755525198580143,0.0,8.891970098788871,6.6956811606254885,19.37354175200725,36.315183107305856
3,0.15,0.2,0.27567681157030416,21.256467503478543,31.27127599040748,4.465035297859385,13.022924852556258,3.1269331932724076,8.427556136081641,2.0958494685258406,8.059538611894256,2.7083196632168587,0.0,3.603327758576151,0.0,6.8956319096154575,6.7067715584749985,16.58344986927309,36.21679115900715
4,0.15,0.2,0.15694916574313528,24.487263481024396,31.763492776203577,5.0529847152702265,13.032268419014997,3.1586297074931866,8.83945729761713,3.7996743105895603,8.252046104128024,1.5729617953871142,0.0,2.8003444144912395,0.0,11.479880724232588,6.687954358562104,23.491169457585563,36.81172617932226
5,0.15,0.2,0.20771872968928506,24.750495034110145,31.203715693581934,3.0568974992829037,12.53952159869538,3.0674865618590634,8.914864328387878,2.5723713873074714,7.996450141168293,3.7769049756613278,0.0,1.708356664377432,0.0,12.225142478893416,6.658757711668696,20.921897927342854,36.109593779920246
6,0.15,0.2,0.16153588982501466,26.052037212311163,31.142227710920807,6.178419567965056,12.997355875091909,2.776158433399051,8.410376144020672,2.738775897343463,7.904813982910926,2.3750926947885107,0.0,2.249083116607346,0.0,12.308776285456076,6.642054786606383,24.002130184163647,35.95460078862989
7,0.15,0.2,0.15419300312537085,23.163973942314318,31.619302563953216,4.931524233481956,12.882967469968321,3.2498388541272702,8.869952138455346,2.6782531690345097,8.227521334613124,2.4905543849112077,0.0,1.4633602447795344,0.0,10.829102369053274,6.687762175051856,21.68871862569701,36.66820311808865
8,0.15,0.2,0.14637590708209905,26.533687335843947,31.53937324005096,4.259696163294458,12.977376712010722,2.9480833833300077,8.623364272096042,2.8688607097359107,8.243614937012694,2.4899225213929417,0.0,1.8255576934213238,0.0,15.090055255967439,6.713883373305589,25.166695512327813,36.55823929442505
9,0.15,0.2,0.1816826377325053,24.28217476904949,31.47494987301767,4.7142052155844505,12.952339324589627,3.057072133200454,8.586017390335375,2.630184546796363,8.126628404728834,2.6366415348382155,0.0,2.3108641529610443,0.0,11.88261463904165,6.75142180949518,22.28407653462292,36.41640692914901
10,0.15,0.2,0.2179899932609055,23.26356170740961,31.478617565761404,5.538244369132332,12.969303748311617,2.5089199727794393,8.715419963446767,1.6481032017325703,8.06697834219501,3.1006337472069063,0.0,2.330231637516559,0.0,9.787237192358006,6.696776734752831,19.482504736002348,36.448478788706225
11,0.15,0.2,0.19129162190670085,22.35283981013718,31.140749382544175,5.39744860591902,12.790341929220043,2.51915935295268,8.525721449678358,2.9667612367434746,7.958388954328275,2.9833897863793974,0.0,1.903029881147816,0.0,9.774558656219854,6.701485871348542,20.657927851835026,35.975938204575215
12,0.15,0.2,0.3215533447581273,23.446167306113427,31.793871931656316,4.502250839611195,12.909527132198354,2.899151056828074,8.91483950183475,3.0404890001815206,8.289744409336055,6.389570960606816,0.0,1.863602272080064,0.0,6.9715114707531,6.747904466900858,17.41340236737389,36.86201551027002
13,0.15,0.2,0.22678322643716706,19.91184991125912,31.627654245358066,3.858572946934081,12.967283462988147,2.8289190150557477,8.921402790720846,2.667992179630568,8.109774303225763,2.5690500987234537,0.0,2.3137541591550215,0.0,7.292423261097918,6.656047539817419,16.647907402718317,36.654508096752174
14,0.15,0.2,0.3110055335462619,18.84327753115992,31.458518018232322,5.662852630593167,13.00039059154932,1.839481469533497,8.511412345467376,2.4514608077132958,8.10884453332971,3.290803137181993,0.0,3.073205612687868,0.0,4.144882897425755,6.759379231770864,14.098677805265716,36.38002670211727
15,0.15,0.2,0.19610236423750246,25.46965190728506,31.700698141786347,5.313063828185379,12.673029015172716,2.5510855246130633,8.871000075622275,2.763089958159593,8.565033665318325,4.094263306214656,0.0,1.3083504309529261,0.0,11.52011432822073,6.662486584243214,22.147353639178768,36.77154934035653
16,0.15,0.2,0.18572262215185925,24.51742786717884,31.474131047942066,5.310662417186954,12.922449691480017,2.251584512579403,8.596449755116451,2.644424878157134,8.197683028437247,2.5397204582257125,0.0,2.3964869605010803,0.0,11.435506117761985,6.7163435784746195,21.642177925685477,36.43292605350833
17,0.15,0.2,0.1292416083320136,28.38201573391431,31.24290039206344,6.335133806959195,12.964942906033702,2.8243325246156195,8.469462422423456,3.5682612075346682,8.015574333038462,2.2911641099385447,0.0,1.8013738707966072,0.0,14.845527203979088,6.680496613413068,27.573254743088572,36.13047627490869
18,0.15,0.2,0.21368849226799647,22.565754281134172,31.10513979614118,4.380703098066798,12.569993783374159,3.766336181680812,8.915000135459863,1.9778387518007436,7.774838612944151,2.4005684698087237,0.0,2.6946445539380286,0.0,8.6240241315752,6.707175271965446,18.748902163123553,35.96700780374362
19,0.15,0.2,0.19261660103423206,21.38896189893075,31.466009000419916,4.691548585022879,12.985980893571542,1.7634822628493312,8.491347605651123,3.054540813908805,8.216682080242228,2.0185042946946923,0.0,2.3456908700350203,0.0,8.78365284187031,6.698026055688371,18.293224503651324,36.39203663515327
0,0.15,0.4,0.2609686065191022,23.82811818814751,31.05138189464333,6.4576090099214225,12.64110075787629,4.790546524811791,8.429394540559771,2.854830081841267,8.080076862405766,3.269165859529477,0.0,3.808629714321283,0.0,5.940471699939886,6.766375736495306,20.04345731651437,35.91694789733713
1,0.15,0.4,0.2611016433191071,23.036848425476872,31.67313916955515,7.298833841741508,13.238513137617009,2.2363132078305363,8.637156142468463,2.6827650319069063,8.05549535449991,3.9217045976714715,0.0,2.4095584209029726,0.0,5.69909441710414,6.716977912177365,17.917006498583092,36.64814254676275
2,0.15,0.4,0.2439903896775531,25.92380060756641,31.364100626813617,6.72488665441645,12.887199537271515,4.169437825323895,8.433713564306737,1.8565341298761708,8.298588845102117,2.5261963304242703,0.0,4.467041352433658,0.0,8.917842778568,6.6956811606254885,21.668701388184516,36.315183107305856
