"camis","dba","boro","zipcode","inspection_date","violation_code","critical_flag"
"50081485","BUENA VISTA RESTAURANT & BAR","Manhattan","10018","2026-05-06T00:00:00.000","03B","Critical"
"41030972","MINI BAR","Brooklyn","11231","2025-07-16T00:00:00.000","04H","Critical"
"50171806","HILL COUNTRY BARBECUE MARKET","Manhattan","10010","2026-04-22T00:00:00.000","06C","Critical"
"50134353","GRAYSON HOTEL / HARTA / BAR CIMA","Manhattan","10018","2024-04-24T00:00:00.000","06C","Critical"
"50149760","MIGHTY QUINN'S BARBEQUE","Brooklyn","11215","2024-06-20T00:00:00.000","02B","Critical"
"50044817","619 BAR & RESTAURANT EL SALVADORENO","Bronx","10455","2024-12-06T00:00:00.000","10F","Not Critical"
"50163230","MATSUNORI HANDROLL BAR","Queens","11101","2025-12-01T00:00:00.000","10F","Not Critical"
"50060083","Bellhop Bar & Restaurant","Manhattan","10001","2025-07-24T00:00:00.000","08A","Not Critical"
"50122434","FIESTA LOUNGE & RESTAURANT","Bronx","10458","2024-06-07T00:00:00.000","08A","Not Critical"
"50145136","EMA LATIN RESTAURANT BAR","Queens","11377","2024-04-29T00:00:00.000","10H","Not Critical"
"50113104","BLU SEAFOOD RESTAURANT & BAR","Queens","11413","2024-02-09T00:00:00.000","10F","Not Critical"
"50119795","M LOUNGE RESTAURANT","Bronx","10468","2026-02-28T00:00:00.000","08A","Not Critical"
"50152897","FRUIT PARADISE JUICE BAR & DELI","Queens","11378","2025-05-09T00:00:00.000","08A","Not Critical"
"50159885","ALL AMERICAN BAGEL & BARISTA COMPANY","Queens","11414","2025-04-03T00:00:00.000","10F","Not Critical"
"50119322","EL CATRACHO SPORTS BAR","Queens","11423","2026-07-08T00:00:00.000","04N","Critical"
"50145396","WARREN STREET BAR & RESTAURANT","Manhattan","10007","2026-05-16T00:00:00.000",,"Not Applicable"
"50122434","FIESTA LOUNGE & RESTAURANT","Bronx","10458","2026-07-15T00:00:00.000","10F","Not Critical"
"41709840","THE DAKOTA BAR","Manhattan","10023","2025-09-03T00:00:00.000","06C","Critical"
"50111280","PLANTSHED COFFEE BAR","Manhattan","10025","2026-08-19T00:00:00.000","10F","Not Critical"
"50081668","BLUE MOUNTAIN HEIGHTS CAFE & BAR","Manhattan","10032","2025-06-03T00:00:00.000","06D","Critical"
"50085870","VERDE CAFE & LOUNGE","Brooklyn","11201","2023-01-23T00:00:00.000","10B","Not Critical"
"41573314","SABANA LOUNGE","Bronx","10472","2026-04-30T00:00:00.000","09E","Not Critical"
"50048142","INTERCONTINENTAL BANQUET KITCHEN NEW YORK BARCLAY","Manhattan","10017","2025-03-21T00:00:00.000","08B","Not Critical"
"50043059","GREENWICH STREET TAVERN","Manhattan","10013","2023-04-19T00:00:00.000","10G","Not Critical"
"50171074","BAYA BAR","Manhattan","10024","2025-11-03T00:00:00.000","16-03","Not Applicable"
"50118012","BLUE RIBBON SUSHI BAR & GRILL","Manhattan","10038","2024-11-06T00:00:00.000","06C","Critical"
"50016982","TOKYO RECORD BAR","Manhattan","10012","2024-01-30T00:00:00.000","04L","Critical"
"41127647","BURRITO BAR","Brooklyn",,"2024-12-04T00:00:00.000","04L","Critical"
"40365525","DONUT PUB","Manhattan","10011","2024-10-25T00:00:00.000","04N","Critical"
"50065564","PUBLIC KITCHEN / LOUIS / TWO FIFTEEN / LOBBY BAR","Manhattan","10002","2023-12-21T00:00:00.000","06A","Critical"
"50060083","Bellhop Bar & Restaurant","Manhattan","10001","2026-04-28T00:00:00.000","10F","Not Critical"
"50178291","MARIEL'S JUICE BAR & RESTAURANT","Bronx","10457","2026-04-08T00:00:00.000","06C","Critical"
"50105227","POKE TIKY BAR","Brooklyn","11238","2023-03-27T00:00:00.000","20-04","Not Critical"
"50081661","BAR 212","Queens","11371","2023-04-18T00:00:00.000","10B","Not Critical"
"50073626","BAR PISELLINO","Manhattan","10014","2024-02-01T00:00:00.000","06E","Critical"
"41255592","AVLI THE LITTLE GREEK TAVERN","Queens","11361","2024-09-19T00:00:00.000","10G","Not Critical"
"50126777","TANG MUSIC LOUNGE","Queens","11378","2025-11-21T00:00:00.000","10B","Not Critical"
"50144133","IZAKAYA SUSHI & LOUNGE","Brooklyn","11235","2023-12-28T00:00:00.000","06F","Critical"
"40648876","WESTSIDE TAVERN","Manhattan","10011","2025-03-19T00:00:00.000","10F","Not Critical"
"50051408","CUCUMBER SUSHI & SALAD BAR","Staten Island","10309","2025-03-03T00:00:00.000","04H","Critical"
"50133854","LA MONTANITA BAR RESTAURANT","Queens","11368","2023-08-14T00:00:00.000","08A","Not Critical"
"50159885","ALL AMERICAN BAGEL & BARISTA COMPANY","Queens","11414","2026-08-20T00:00:00.000","02G","Critical"
"41293936","MOMOFUKU NOODLE BAR","Manhattan","10003","2026-04-27T00:00:00.000","10F","Not Critical"
"50128003","QUIET BAR & BISTRO","Bronx","10457","2023-03-16T00:00:00.000","15-01","Not Applicable"
"50165418","SOFIA'S BAR","Queens","11368","2026-01-23T00:00:00.000","06D","Critical"
"50144929","BAR BIRBA","Brooklyn","11238","2024-04-30T00:00:00.000","02B","Critical"
"50125404","RAY'S HOMETOWN BAR","Brooklyn","11222","2024-10-04T00:00:00.000","06E","Critical"
"41217679","LUXOR LOUNGE","Manhattan","10012","2026-03-19T00:00:00.000","10F","Not Critical"
"41096631","JP KELLY'S PUB","Bronx","10470","2026-04-17T00:00:00.000","06D","Critical"
"50000038","BARAWINE","Manhattan","10027","2025-06-05T00:00:00.000","04N","Critical"
"50105244","OOI SUSHI & LOUNGE","Queens","11101","2023-02-16T00:00:00.000","02G","Critical"
"40591607","PUMPS EXOTIC BAR","Brooklyn","11211","2023-03-21T00:00:00.000","10F","Not Critical"
"40401084","MCCABE'S BAR CAR","Queens","11358","2026-08-06T00:00:00.000","04N","Critical"
