"zipcode","n_licenses"
"11005","2"
"10044","7"
"13224","1"
"11210","7"
"11223","64"
"11432","27"
"11217","198"
"10002","405"
"10171","1"
"10452","30"
"10472","29"
"11358","100"
"11426","10"
"10104","2"
"10118","8"
"11366","16"
"13214","1"
"10466","10"
"10121","57"
"10038","111"
"10309","43"
"10459","13"
"11415","14"
"11419","49"
"10013","321"
"10455","17"
"10007","80"
"11433","6"
"12601","1"
"10461","60"
"10457","24"
"10034","66"
"10281","20"
"10031","52"
"10460","10"
"10175","1"
"11205","74"
"11323","3"
"11203","22"
"11422","12"
"10471","25"
"11436","7"
"11413","9"
"11416","12"
"11355","64"
"11429","4"
"11226","43"
"10314","51"
"11417","24"
"10103","3"
"10172","2"
"10026","29"
"10039","5"
"10468","20"
"11207","47"
"11222","191"
"11374","26"
"10010","171"
"11361","61"
"11209","83"
"10310","20"
"11109","7"
"11245","1"
"11363","9"
"11204","18"
"14216","1"
"11253","1"
"11101","180"
"10166","5"
"11434","11"
"10474","11"
"11360","13"
"11025","1"
"10301","46"
"10158","2"
"10282","11"
"11213","24"
"1002","1"
"11743","1"
"11220","105"
"10305","43"
"11001","2"
"13850","1"
"10065","99"
"10467","30"
"11106","103"
"11418","42"
"11694","23"
"10006","45"
"11352","1"
"11377","94"
"11230","28"
"11369","24"
"11421","22"
"10475","17"
"11371","44"
"10003","441"
"10153","2"
"11215","210"
"10001","524"
"11103","113"
"10464","28"
"10451","95"
"11435","34"
"11439","1"
"14219","1"
"10105","3"
"11385","146"
"11730","1"
"10005","47"
"11201","226"
"11375","92"
"10465","48"
"11004","5"
"10017","248"
"11214","42"
"10304","24"
"11368","263"
"10128","93"
"11231","118"
"11370","7"
"10022","308"
"10028","129"
"10454","32"
"14626","1"
"10009","234"
"11378","38"
"10069","2"
"10152","3"
"10033","49"
"10286","4"
"11212","11"
"11501","1"
"10020","48"
"10271","2"
"11784","1"
"11430","92"
"112211","2"
"11216","75"
"10458","72"
"11354","190"
"10307","21"
"11232","76"
"11423","13"
"11691","8"
"11235","70"
"10027","70"
"11040","5"
"10154","3"
"10029","66"
"10110","2"
"10312","34"
"10035","15"
"11228","19"
"11697","8"
"11411","5"
"11412","5"
"10021","133"
"10014","391"
"11420","32"
"11693","18"
"11379","15"
"10167","1"
"11218","35"
"10453","27"
"11356","28"
"10023","158"
"10168","2"
"11102","49"
"11372","173"
"11206","103"
"11211","330"
"10004","92"
"11234","50"
"11357","26"
"10954","1"
"11414","24"
"10151","1"
"10037","1"
"10112","12"
"10178","2"
"10011","344"
"11233","38"
"10176","2"
"11428","10"
"11225","55"
"11367","15"
"10473","1"
"11801","1"
"10302","27"
"10075","46"
"10036","460"
"11224","45"
"11692","6"
"10032","37"
"11327","1"
"10169","2"
"10019","563"
"10280","5"
"11229","30"
"11438","2"
"11221","73"
"10456","10"
"11249","146"
"11236","15"
"11237","185"
"11339","1"
"11022","1"
"11362","23"
"11219","37"
"10025","110"
"10016","296"
"10111","8"
"11373","78"
"11365","17"
"10030","15"
"112209","1"
"10012","332"
"10463","48"
"10285","2"
"10308","32"
"10306","55"
"11208","22"
"10119","18"
"10462","31"
"10469","18"
"11427","1"
"10040","38"
"10303","11"
"10018","280"
"11239","9"
"10024","136"
"11364","17"
"11289","1"
"10470","17"
"11104","53"
"11238","159"
"11105","81"
