bin,promised,realized,true_cut,t,setting,seed,p,K
0,0.110118,0.0882756,0.138338,1,baseline,0,0.1,1
1,0.204352,0.163054,0.214004,1,baseline,0,0.1,1
2,0.266055,0.241005,0.260513,1,baseline,0,0.1,1
3,0.315798,0.27688,0.299469,1,baseline,0,0.1,1
4,0.378644,0.292412,0.395324,1,baseline,0,0.1,1
0,0.110118,0.127874,0.138338,10,baseline,0,0.1,1
1,0.204352,0.1937,0.214004,10,baseline,0,0.1,1
2,0.266055,0.256913,0.260513,10,baseline,0,0.1,1
3,0.315798,0.268737,0.299469,10,baseline,0,0.1,1
4,0.378644,0.286848,0.395324,10,baseline,0,0.1,1
0,0.110118,0.0882756,0.138338,1,baseline,0,0.1,3
1,0.204352,0.163054,0.214004,1,baseline,0,0.1,3
2,0.266055,0.241005,0.260513,1,baseline,0,0.1,3
3,0.315798,0.27688,0.299469,1,baseline,0,0.1,3
4,0.378644,0.292412,0.395324,1,baseline,0,0.1,3
0,0.110118,0.136986,0.138338,10,baseline,0,0.1,3
1,0.204352,0.203473,0.214004,10,baseline,0,0.1,3
2,0.266055,0.265168,0.260513,10,baseline,0,0.1,3
3,0.315798,0.278117,0.299469,10,baseline,0,0.1,3
4,0.378644,0.29494,0.395324,10,baseline,0,0.1,3
0,0.110118,0.0882756,0.138338,1,baseline,0,0.1,5
1,0.204352,0.163054,0.214004,1,baseline,0,0.1,5
2,0.266055,0.241005,0.260513,1,baseline,0,0.1,5
3,0.315798,0.27688,0.299469,1,baseline,0,0.1,5
4,0.378644,0.292412,0.395324,1,baseline,0,0.1,5
0,0.110118,0.14057,0.138338,10,baseline,0,0.1,5
1,0.204352,0.20618,0.214004,10,baseline,0,0.1,5
2,0.266055,0.266598,0.260513,10,baseline,0,0.1,5
3,0.315798,0.279173,0.299469,10,baseline,0,0.1,5
4,0.378644,0.296257,0.395324,10,baseline,0,0.1,5
0,0.10831,0.0877861,0.13912,1,baseline,0,0.25,1
1,0.211767,0.176136,0.216193,1,baseline,0,0.25,1
2,0.271429,0.244902,0.263675,1,baseline,0,0.25,1
3,0.318773,0.278309,0.302657,1,baseline,0,0.25,1
4,0.374836,0.294504,0.359846,1,baseline,0,0.25,1
0,0.10831,0.137002,0.13912,10,baseline,0,0.25,1
1,0.211767,0.207093,0.216193,10,baseline,0,0.25,1
2,0.271429,0.255123,0.263675,10,baseline,0,0.25,1
3,0.318773,0.268965,0.302657,10,baseline,0,0.25,1
4,0.374836,0.27862,0.359846,10,baseline,0,0.25,1
0,0.10831,0.0877861,0.13912,1,baseline,0,0.25,3
1,0.211767,0.176136,0.216193,1,baseline,0,0.25,3
