setting,seed,p,K,t,camera_coef,license_coef,loss_ratio,nonadopter_rate_change,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only
baseline,0,0,1,1,-0.441514,-0.714825,0.740486,0,0.114409,0.153597,0.268006,,,,,,,
baseline,0,0,1,2,-0.527388,-0.575961,0.753443,-0.0168379,0.118775,0.106026,0.224801,,,,,,,
baseline,0,0,1,3,-0.596729,-0.457353,0.763514,-0.00770601,0.122423,0.0758143,0.198237,,,,,,,
baseline,0,0,1,4,-0.470322,-0.528899,0.786182,-0.0534657,0.10226,0.0943909,0.196651,,,,,,,
baseline,0,0,1,5,-0.484186,-0.593524,0.78032,-0.0434427,0.113905,0.114849,0.228754,,,,,,,
baseline,0,0,1,6,-0.540274,-0.636369,0.765681,-0.0326953,0.112733,0.108768,0.221501,,,,,,,
baseline,0,0,1,7,-0.454622,-0.65722,0.739362,-0.0185572,0.0935115,0.111599,0.20511,,,,,,,
baseline,0,0,1,8,-0.5616,-0.690858,0.74754,-0.0210341,0.115116,0.116026,0.231142,,,,,,,
baseline,0,0,1,9,-0.563112,-0.667083,0.741174,-0.0178277,0.116762,0.113248,0.23001,,,,,,,
baseline,0,0,1,10,-0.486262,-0.51414,0.751927,-0.0299401,0.111235,0.096197,0.207432,,,,,,,
baseline,0,0,3,1,-0.441514,-0.714825,0.740486,0,0.114409,0.153597,0.268006,,,,,,,
baseline,0,0,3,2,-0.471736,-0.670543,0.744543,-0.00568891,0.118097,0.138605,0.256702,,,,,,,
baseline,0,0,3,3,-0.497993,-0.608492,0.749136,0.00067819,0.117246,0.117639,0.234884,,,,,,,
baseline,0,0,3,4,-0.515244,-0.535822,0.762281,-0.0155277,0.113187,0.0962434,0.209431,,,,,,,
baseline,0,0,3,5,-0.508513,-0.536401,0.769466,-0.0220561,0.112411,0.097005,0.209416,,,,,,,
baseline,0,0,3,6,-0.493483,-0.59362,0.771244,-0.0323366,0.10989,0.108625,0.218515,,,,,,,
baseline,0,0,3,7,-0.490146,-0.63451,0.756601,-0.0226629,0.10694,0.113947,0.220886,,,,,,,
baseline,0,0,3,8,-0.512584,-0.666604,0.746068,-0.0162618,0.106557,0.113949,0.220507,,,,,,,
baseline,0,0,3,9,-0.51513,-0.679321,0.737725,-0.0114607,0.106767,0.115809,0.222576,,,,,,,
baseline,0,0,3,10,-0.522125,-0.634836,0.741198,-0.0144498,0.111948,0.111652,0.223601,,,,,,,
baseline,0,0,5,1,-0.441514,-0.714825,0.740486,0,0.114409,0.153597,0.268006,,,,,,,
baseline,0,0,5,2,-0.461217,-0.677624,0.743002,-0.00334058,0.11533,0.140029,0.255359,,,,,,,
baseline,0,0,5,3,-0.491034,-0.628476,0.746452,-0.00286652,0.116961,0.123126,0.240087,,,,,,,
baseline,0,0,5,4,-0.499041,-0.595214,0.753897,-0.0112624,0.115912,0.113464,0.229376,,,,,,,
baseline,0,0,5,5,-0.49247,-0.585533,0.758959,-0.0132005,0.113849,0.111153,0.225003,,,,,,,
baseline,0,0,5,6,-0.516181,-0.565137,0.763188,-0.0190374,0.113836,0.102033,0.215868,,,,,,,
baseline,0,0,5,7,-0.505321,-0.579836,0.759582,-0.0187523,0.109007,0.102575,0.211582,,,,,,,
baseline,0,0,5,8,-0.498027,-0.62554,0.757011,-0.0231749,0.107376,0.110889,0.218265,,,,,,,
baseline,0,0,5,9,-0.513896,-0.65481,0.748748,-0.0171903,0.109737,0.114933,0.22467,,,,,,,
baseline,0,0,5,10,-0.512056,-0.642472,0.742946,-0.0143042,0.108869,0.112209,0.221078,,,,,,,
baseline,0,0.1,1,1,-0.441514,-0.714825,0.732311,0,0.114409,0.153597,0.268006,0.254968,0.212287,0.261554,0.0942928,0.0949673,0.39206,-0.096731
baseline,0,0.1,1,2,-0.489333,-0.54921,0.764012,-0.0387165,0.11107,0.102125,0.213195,0.254968,0.236888,0.261554,0.0942928,0.0990649,0.39206,-0.0610469
baseline,0,0.1,1,3,-0.538758,-0.409492,0.775119,-0.0270719,0.118325,0.0728085,0.191134,0.254968,0.249392,0.261554,0.0942928,0.0984657,0.39206,-0.0411188
baseline,0,0.1,1,4,-0.396419,-0.513769,0.793297,-0.0667041,0.0893263,0.0956189,0.184945,0.254968,0.246437,0.261554,0.0942928,0.0947619,0.39206,-0.0428945
baseline,0,0.1,1,5,-0.404657,-0.608814,0.782046,-0.052179,0.0983039,0.122667,0.220971,0.254968,0.23006,0.261554,0.0942928,0.0955996,0.39206,-0.0693288
