setting,seed,p,K,spearman_before,spearman_after,camera_ttc,license_ttc
baseline,0,0,1,,,,
baseline,0,0,3,0.681865,0.758647,,
baseline,0,0,5,,,,
baseline,0,0.1,1,,,,
baseline,0,0.1,3,0.681865,0.792339,,
baseline,0,0.1,5,,,,
baseline,0,0.25,1,,,,
baseline,0,0.25,3,0.681865,0.827555,,
baseline,0,0.25,5,,,,
baseline,0,0.5,1,,,,
baseline,0,0.5,3,0.681865,0.823966,,
baseline,0,0.5,5,,,,
baseline,0,1,1,,,,
baseline,0,1,3,0.681865,0.675743,,
baseline,0,1,5,,,,
baseline,1,0,1,,,,
baseline,1,0,3,0.715066,0.701575,,
baseline,1,0,5,,,,
baseline,1,0.1,1,,,,
baseline,1,0.1,3,0.715066,0.754999,,
baseline,1,0.1,5,,,,
baseline,1,0.25,1,,,,
baseline,1,0.25,3,0.715066,0.79244,,
baseline,1,0.25,5,,,,
baseline,1,0.5,1,,,,
baseline,1,0.5,3,0.715066,0.816986,,
baseline,1,0.5,5,,,,
baseline,1,1,1,,,,
baseline,1,1,3,0.715066,0.732476,,
baseline,1,1,5,,,,
baseline,2,0,1,,,,
baseline,2,0,3,0.633275,0.658336,,
baseline,2,0,5,,,,
baseline,2,0.1,1,,,,
baseline,2,0.1,3,0.633275,0.719228,,
baseline,2,0.1,5,,,,
baseline,2,0.25,1,,,,
baseline,2,0.25,3,0.633275,0.779,,
baseline,2,0.25,5,,,,
baseline,2,0.5,1,,,,
baseline,2,0.5,3,0.633275,0.83275,,
baseline,2,0.5,5,,,,
baseline,2,1,1,,,,
baseline,2,1,3,0.633275,0.78185,,
baseline,2,1,5,,,,
baseline,3,0,1,,,,
baseline,3,0,3,0.686675,0.746336,,
baseline,3,0,5,,,,
baseline,3,0.1,1,,,,
baseline,3,0.1,3,0.686675,0.813729,,
baseline,3,0.1,5,,,,
baseline,3,0.25,1,,,,
baseline,3,0.25,3,0.686675,0.846517,,
baseline,3,0.25,5,,,,
baseline,3,0.5,1,,,,
baseline,3,0.5,3,0.686675,0.852498,,
baseline,3,0.5,5,,,,
baseline,3,1,1,,,,
baseline,3,1,3,0.686675,0.765951,,
baseline,3,1,5,,,,
baseline,4,0,1,,,,
baseline,4,0,3,0.748958,0.686701,,
baseline,4,0,5,,,,
baseline,4,0.1,1,,,,
baseline,4,0.1,3,0.748958,0.714039,,
baseline,4,0.1,5,,,,
baseline,4,0.25,1,,,,
baseline,4,0.25,3,0.748958,0.74499,,
baseline,4,0.25,5,,,,
baseline,4,0.5,1,,,,
baseline,4,0.5,3,0.748958,0.665504,,
baseline,4,0.5,5,,,,
baseline,4,1,1,,,,
baseline,4,1,3,0.748958,0.701907,,
baseline,4,1,5,,,,
baseline,5,0,1,,,,
baseline,5,0,3,0.58184,0.588117,,
baseline,5,0,5,,,,
baseline,5,0.1,1,,,,
baseline,5,0.1,3,0.58184,0.601282,,
baseline,5,0.1,5,,,,
baseline,5,0.25,1,,,,
baseline,5,0.25,3,0.58184,0.683822,,
baseline,5,0.25,5,,,,
baseline,5,0.5,1,,,,
baseline,5,0.5,3,0.58184,0.781556,,
baseline,5,0.5,5,,,,
baseline,5,1,1,,,,
baseline,5,1,3,0.58184,0.775331,,
baseline,5,1,5,,,,
baseline,6,0,1,,,,
baseline,6,0,3,0.737288,0.72245,,
baseline,6,0,5,,,,
baseline,6,0.1,1,,,,
baseline,6,0.1,3,0.737288,0.747852,,
baseline,6,0.1,5,,,,
baseline,6,0.25,1,,,,
baseline,6,0.25,3,0.737288,0.800859,,
baseline,6,0.25,5,,,,
baseline,6,0.5,1,,,,
baseline,6,0.5,3,0.737288,0.716741,,
baseline,6,0.5,5,,,,
baseline,6,1,1,,,,
baseline,6,1,3,0.737288,0.656007,,
baseline,6,1,5,,,,
baseline,7,0,1,,,,
baseline,7,0,3,0.721071,0.675809,,
baseline,7,0,5,,,,
baseline,7,0.1,1,,,,
baseline,7,0.1,3,0.721071,0.659224,,
baseline,7,0.1,5,,,,
baseline,7,0.25,1,,,,
baseline,7,0.25,3,0.721071,0.663622,,
baseline,7,0.25,5,,,,
baseline,7,0.5,1,,,,
baseline,7,0.5,3,0.721071,0.614721,,
baseline,7,0.5,5,,,,
baseline,7,1,1,,,,
baseline,7,1,3,0.721071,0.640447,,
baseline,7,1,5,,,,
baseline,8,0,1,,,,
baseline,8,0,3,0.66949,0.54429,,
baseline,8,0,5,,,,
baseline,8,0.1,1,,,,
baseline,8,0.1,3,0.66949,0.527419,,
baseline,8,0.1,5,,,,
baseline,8,0.25,1,,,,
baseline,8,0.25,3,0.66949,0.553317,,
baseline,8,0.25,5,,,,
baseline,8,0.5,1,,,,
baseline,8,0.5,3,0.66949,0.637699,,
baseline,8,0.5,5,,,,
baseline,8,1,1,,,,
baseline,8,1,3,0.66949,0.70596,,
baseline,8,1,5,,,,
baseline,9,0,1,,,,
baseline,9,0,3,0.729733,0.654966,,
baseline,9,0,5,,,,
baseline,9,0.1,1,,,,
baseline,9,0.1,3,0.729733,0.645567,,
baseline,9,0.1,5,,,,
baseline,9,0.25,1,,,,
baseline,9,0.25,3,0.729733,0.570974,,
baseline,9,0.25,5,,,,
baseline,9,0.5,1,,,,
baseline,9,0.5,3,0.729733,0.726133,,
baseline,9,0.5,5,,,,
baseline,9,1,1,,,,
baseline,9,1,3,0.729733,0.790596,,
baseline,9,1,5,,,,
baseline,10,0,1,,,,
baseline,10,0,3,0.626828,0.738099,,
baseline,10,0,5,,,,
baseline,10,0.1,1,,,,
baseline,10,0.1,3,0.626828,0.756064,,
baseline,10,0.1,5,,,,
baseline,10,0.25,1,,,,
baseline,10,0.25,3,0.626828,0.782972,,
baseline,10,0.25,5,,,,
baseline,10,0.5,1,,,,
baseline,10,0.5,3,0.626828,0.807615,,
baseline,10,0.5,5,,,,
baseline,10,1,1,,,,
baseline,10,1,3,0.626828,0.820148,,
baseline,10,1,5,,,,
baseline,11,0,1,,,,
baseline,11,0,3,0.757107,0.749202,,
baseline,11,0,5,,,,
baseline,11,0.1,1,,,,
baseline,11,0.1,3,0.757107,0.741467,,
baseline,11,0.1,5,,,,
baseline,11,0.25,1,,,,
baseline,11,0.25,3,0.757107,0.762376,,
baseline,11,0.25,5,,,,
baseline,11,0.5,1,,,,
baseline,11,0.5,3,0.757107,0.765421,,
baseline,11,0.5,5,,,,
baseline,11,1,1,,,,
baseline,11,1,3,0.757107,0.753375,,
baseline,11,1,5,,,,
baseline,12,0,1,,,,
baseline,12,0,3,0.584324,0.666126,,
baseline,12,0,5,,,,
baseline,12,0.1,1,,,,
baseline,12,0.1,3,0.584324,0.718811,,
baseline,12,0.1,5,,,,
baseline,12,0.25,1,,,,
baseline,12,0.25,3,0.584324,0.753709,,
baseline,12,0.25,5,,,,
baseline,12,0.5,1,,,,
baseline,12,0.5,3,0.584324,0.772978,,
baseline,12,0.5,5,,,,
baseline,12,1,1,,,,
baseline,12,1,3,0.584324,0.683364,,
baseline,12,1,5,,,,
baseline,13,0,1,,,,
baseline,13,0,3,0.716236,0.67935,,
baseline,13,0,5,,,,
baseline,13,0.1,1,,,,
baseline,13,0.1,3,0.716236,0.685462,,
baseline,13,0.1,5,,,,
baseline,13,0.25,1,,,,
baseline,13,0.25,3,0.716236,0.713214,,
baseline,13,0.25,5,,,,
baseline,13,0.5,1,,,,
baseline,13,0.5,3,0.716236,0.644735,,
baseline,13,0.5,5,,,,
baseline,13,1,1,,,,
baseline,13,1,3,0.716236,0.638882,,
baseline,13,1,5,,,,
baseline,14,0,1,,,,
baseline,14,0,3,0.648745,0.690094,,
baseline,14,0,5,,,,
baseline,14,0.1,1,,,,
baseline,14,0.1,3,0.648745,0.728788,,
baseline,14,0.1,5,,,,
baseline,14,0.25,1,,,,
baseline,14,0.25,3,0.648745,0.758622,,
baseline,14,0.25,5,,,,
baseline,14,0.5,1,,,6,
baseline,14,0.5,3,0.648745,0.774155,,
baseline,14,0.5,5,,,,
baseline,14,1,1,,,,
baseline,14,1,3,0.648745,0.674122,,
baseline,14,1,5,,,,
baseline,15,0,1,,,,
baseline,15,0,3,0.699319,0.680821,,
baseline,15,0,5,,,,
baseline,15,0.1,1,,,,
